Query,Persona,Intent,Complexity,Entities,Route,Notes
brown vs dartmouth academic culture,counselor_teacher,comparison,complex,"{schools:[Brown,Dartmouth]}",comparison_engine,compare culture
stem programs with low attrition,counselor_teacher,recommendation,complex,{program:STEM},agentic,recommendations
schools that allow counselor reports,counselor_teacher,admissions_process,medium,{},llm,policy
how recommendations are weighted,counselor_teacher,guidance,complex,{},llm,process
fit vs selectivity tradeoffs,counselor_teacher,guidance,complex,{},llm,advising
best schools for cybersecurity careers,advisor,career_outcomes,medium,{},llm,outcomes
top universities for entrepreneurship,advisor,career_outcomes,medium,{},llm,outcomes
schools like mit for innovation,advisor,recommendation,complex,{reference:MIT},agentic,needs recommendations
top applied math programs,advisor,filtered_search,medium,{field:applied math},search,1–2 filters
elite stem focused universities,advisor,recommendation,complex,{},agentic,recommendations
carnegie mellon vs berkeley outcomes,advisor,comparison,complex,"{schools:[CMU,Berkeley]}",comparison_engine,compare outcomes
how companies screen resumes by school,advisor,guidance,medium,{},llm,career guidance
schools with strong startup ecosystems,advisor,campus_life_fit,llm_needed,{},llm,subjective fit
regional hiring pipelines,advisor,guidance,complex,{},llm,conceptual
program rankings vs employer perception,advisor,guidance,complex,{},llm,advising
institutional onboarding requirements,college_b2b,b2b_partnership,medium,{},sales_pipeline,B2B
school profile data validation,college_b2b,profile_management,medium,{},b2b_portal,B2B
enrollment forecasting analytics,college_b2b,analytics_request,complex,{},analytics,B2B data
compare applicant interest year over year,college_b2b,analytics_request,complex,{},analytics,B2B data
integration with enrollment crm,college_b2b,b2b_partnership,medium,{},sales_pipeline,B2B
search impression analytics,college_b2b,analytics_request,medium,{},analytics,B2B data
recommendation system explainability,college_b2b,guidance,medium,{},llm,B2B logic
increase qualified applicant pool,college_b2b,recommendation,complex,{},agentic,B2B strategy
enterprise support escalation paths,college_b2b,b2b_partnership,short_circuit,{},sales_pipeline,B2B
archived admissions data access,college_b2b,profile_management,medium,{},b2b_portal,B2B
williams college,high_school_student,exact_lookup,short_circuit,{school:Williams},typesense_only,simple entity
uc riverside acceptance rate,high_school_student,attribute_lookup,short_circuit,"{school:UC Riverside,metric:acceptance_rate}",typesense_only,single attribute
schools in new mexico,high_school_student,filtered_search,medium,{location:New Mexico},search,1–2 filters
low cost colleges with strong neuroscience programs,high_school_student,multi_constraint,complex,"{program:neuroscience,cost:low}",agentic,multi-constraint
iu bloomington vs purdue,high_school_student,comparison,complex,"{schools:[Indiana University,Purdue]}",comparison_engine,compare entities
schools like villanova but public,high_school_student,recommendation,complex,"{reference:Villanova,school_type:public}",agentic,needs recommendations
do colleges look at sophomore year grades,high_school_student,admissions_process,medium,{},llm,admissions evaluation
when should i start visiting colleges,high_school_student,admissions_process,medium,{},llm,planning
schools with relaxed grading,high_school_student,campus_life_fit,llm_needed,{},llm,subjective fit
best colleges for public health careers,high_school_student,career_outcomes,medium,{field:public health},llm,outcomes
pomona college,college_student,exact_lookup,short_circuit,{school:Pomona},typesense_only,simple entity
texas a&m housing,college_student,attribute_lookup,short_circuit,"{school:Texas A&M,attribute:housing}",typesense_only,single attribute
schools in the central valley,college_student,filtered_search,medium,{location:Central Valley},search,1–2 filters
small universities with strong business analytics,college_student,multi_constraint,complex,"{program:business analytics,size:small}",agentic,multi-constraint
uc denver vs colorado state,college_student,comparison,complex,"{schools:[CU Denver,Colorado State]}",comparison_engine,compare entities
schools like ohio state but urban,college_student,recommendation,complex,"{reference:Ohio State,setting:urban}",agentic,needs recommendations
what is early decision restriction,college_student,admissions_process,medium,{},llm,admissions concept
how outside scholarships affect aid,college_student,cost_financial_aid,medium,{},llm,cost aid
schools with strong debate culture,college_student,campus_life_fit,llm_needed,{},llm,subjective fit
colleges with strong nonprofit career placement,college_student,career_outcomes,medium,{},llm,outcomes
santa clara university,parent,exact_lookup,short_circuit,{school:Santa Clara},typesense_only,simple entity
does depaul require freshmen housing,parent,attribute_lookup,short_circuit,"{school:DePaul,attribute:housing}",typesense_only,parent framing
colleges near tech hubs,parent,filtered_search,medium,{location:tech hubs},search,1–2 filters
academically strong colleges with internship access,parent,multi_constraint,complex,"{academics:strong,internships:true}",agentic,multi-constraint
denison vs kenyon,parent,comparison,complex,"{schools:[Denison,Kenyon]}",comparison_engine,compare entities
good colleges for late bloomers,parent,recommendation,complex,{},agentic,needs recommendations
how parent income brackets affect aid,parent,cost_financial_aid,medium,{},llm,cost aid
schools with strong career counseling,parent,campus_life_fit,llm_needed,{},llm,subjective fit
college outcomes for psychology majors,parent,career_outcomes,medium,{},llm,outcomes
how to decide between waitlist offers,parent,admissions_process,medium,{},llm,decision making
what is academic index,counselor_teacher,admissions_process,medium,{},llm,counselor terminology
schools in the ozarks region,counselor_teacher,filtered_search,medium,{location:Ozarks},search,1–2 filters
how to advise gap year students,counselor_teacher,guidance,medium,{},llm,advising
colleges with open curriculum,counselor_teacher,attribute_lookup,medium,{},llm,academic structure
elite lac vs mid tier research,counselor_teacher,guidance,complex,{},llm,conceptual
swarthmore vs haverford academics,counselor_teacher,comparison,complex,"{schools:[Swarthmore,Haverford]}",comparison_engine,compare academics
stem programs with strong mentoring,counselor_teacher,recommendation,complex,{program:STEM},agentic,recommendations
schools that require counselor recs,counselor_teacher,admissions_process,medium,{},llm,policy
how schools contextualize test scores,counselor_teacher,guidance,complex,{},llm,process
fit vs cost tradeoffs,counselor_teacher,guidance,complex,{},llm,advising
best schools for health informatics,advisor,career_outcomes,medium,{},llm,outcomes
top universities for supply chain careers,advisor,career_outcomes,medium,{},llm,outcomes
schools like cornell for interdisciplinary study,advisor,recommendation,complex,{reference:Cornell},agentic,needs recommendations
top operations research programs,advisor,filtered_search,medium,{field:operations research},search,1–2 filters
elite non coastal universities,advisor,recommendation,complex,{},agentic,recommendations
washington vs georgetown outcomes,advisor,comparison,complex,"{schools:[Washington Univ St Louis,Georgetown]}",comparison_engine,compare outcomes
how recruiters value capstone projects,advisor,guidance,medium,{},llm,career guidance
schools with strong industry sponsored research,advisor,campus_life_fit,llm_needed,{},llm,subjective fit
regional salary differentials,advisor,guidance,complex,{},llm,conceptual
program depth vs brand recognition,advisor,guidance,complex,{},llm,advising
institutional api rate limits,college_b2b,b2b_partnership,medium,{},sales_pipeline,B2B
school profile change approvals,college_b2b,profile_management,medium,{},b2b_portal,B2B
predictive yield modeling,college_b2b,analytics_request,complex,{},analytics,B2B data
compare admit to enroll conversion,college_b2b,analytics_request,complex,{},analytics,B2B data
integration with email marketing tools,college_b2b,b2b_partnership,medium,{},sales_pipeline,B2B
search ranking diagnostics,college_b2b,analytics_request,medium,{},analytics,B2B data
recommendation fairness criteria,college_b2b,guidance,medium,{},llm,B2B logic
increase rural student outreach,college_b2b,recommendation,complex,{},agentic,B2B strategy
enterprise contract renewal terms,college_b2b,b2b_partnership,short_circuit,{},sales_pipeline,B2B
longitudinal admissions data export,college_b2b,profile_management,medium,{},b2b_portal,B2B
bowdoin college,high_school_student,exact_lookup,short_circuit,{school:Bowdoin},typesense_only,simple entity
uc merced acceptance rate,high_school_student,attribute_lookup,short_circuit,"{school:UC Merced,metric:acceptance_rate}",typesense_only,single attribute
schools in idaho,high_school_student,filtered_search,medium,{location:Idaho},search,1–2 filters
low cost colleges with strong kinesiology programs,high_school_student,multi_constraint,complex,"{program:kinesiology,cost:low}",agentic,multi-constraint
arizona state vs oregon state,high_school_student,comparison,complex,"{schools:[Arizona State,Oregon State]}",comparison_engine,compare entities
schools like clemson but less rural,high_school_student,recommendation,complex,"{reference:Clemson,setting:less rural}",agentic,needs recommendations
